Year,Commodity,Crop,Area,Export,IDR,Import,Production,SSR,Yield
2012,Plantation,Tapioca,241,0,0,0,360,100,1494
2012,Vegetables,Tomato,293,1,87,2239,337,13,1150
2012,Cereals,Wheat,5540,9018,120,13239,5038,26,909
2013,Fruits and Nuts,Apple,236051,4314,1,44,8032,214,34
2013,Plantation,Areca nut,624069,3536,5,150,6249,218,10
2013,Vegetables,Beans,3248,71,10,294,2636,92,812
2013,Cereals,Buckwheat,6591,1,0,11,3641,100,552
2013,Vegetables,Bulb Onion,779,0,87,2815,420,13,539
2013,Vegetables,Cabbage,2427,1426,34,1331,3961,102,1632
2013,Spices,Cardamom,6904,823,6,22,1162,321,168
2013,Vegetables,Cauliflower,864,7,53,1035,922,47,1067
2013,Vegetables,Chilli,5171,103,21,2279,8508,80,1645
2013,Spices,Garlic,1744,0,5,39,752,95,431
2013,Spices,Ginger,2489,1226,0,0,3756,148,1509
2013,Legumes and Pulses,Kidney bean,1724,14,0,1,965,101,560
2013,Legumes and Pulses,Lentil,368,110,103,3037,22,1,60
2013,Cereals,Maize,58338,0,21,19911,75715,79,1298
2013,Fruits and Nuts,Mandarin,1046880,24975,1,67,33469,391,32
2013,Legumes and Pulses,Mungbean,625,3,0,0,315,101,504
2013,Cereals,Mustard,3148,4,81,1424,995,19,316
2013,Vegetables,Potato,13391,21871,16,5283,50390,149,3763
2013,Cereals,Rice,48361,118,53,54361,75228,47,1556
2013,Legumes and Pulses,Soya bean,1195,7,35,226,424,66,355
2013,Plantation,Tapioca,406,0,0,0,355,100,874
2013,Vegetables,Tomato,550,0,67,1976,632,33,1149
2013,Cereals,Wheat,5441,7828,119,20940,4286,23,788
2014,Fruits and Nuts,Apple,217317,5437,3,53,7051,423,32
2014,Plantation,Areca nut,626207,7270,87,1288,7468,503,12
2014,Vegetables,Beans,2391,63,10,296,2830,92,1184
2014,Cereals,Buckwheat,4762,1,0,6,2583,100,542
2014,Vegetables,Bulb Onion,798,0,80,3100,757,20,949
2014,Vegetables,Cabbage,1884,1717,37,1544,4364,104,2316
2014,Spices,Cardamom,8683,746,0,2,1781,172,205
2014,Vegetables,Cauliflower,1035,5,42,1200,1650,58,1594
2014,Vegetables,Chilli,4337,105,22,2401,8586,79,1980
2014,Spices,Garlic,1282,0,3,27,846,97,660
2014,Spices,Ginger,2651,1230,0,3,4983,133,1880
2014,Legumes and Pulses,Kidney bean,1668,10,0,0,991,101,594
2014,Legumes and Pulses,Lentil,269,136,102,2664,74,3,275
2014,Cereals,Maize,58938,0,22,21788,77244,78,1311
2014,Fruits and Nuts,Mandarin,1060009,21148,0,39,45226,188,43
2014,Legumes and Pulses,Mungbean,1171,0,0,0,577,100,493
2014,Cereals,Mustard,2783,6,83,1347,867,18,312
2014,Vegetables,Potato,12785,26849,16,5272,53612,167,4193
2014,Cereals,Rice,48873,7,52,53540,77038,48,1576
2014,Legumes and Pulses,Soya bean,710,4,69,669,301,31,424
2014,Plantation,Tapioca,677,0,0,0,148,100,219
2014,Vegetables,Tomato,573,1,67,2628,1323,33,2309
2014,Cereals,Wheat,4910,6521,115,22626,3465,18,706
2015,Fruits and Nuts,Apple,179474,3488,4,73,5308,280,30
2015,Plantation,Areca nut,772903,5922,5,167,9406,258,12
2015,Vegetables,Beans,3011,7,8,331,3612,92,1200
2015,Cereals,Buckwheat,5147,2,11,400,3234,89,628
2015,Vegetables,Bulb Onion,542,0,85,3412,608,15,1122
2015,Vegetables,Cabbage,2256,1194,27,1518,5209,94,2309
2015,Spices,Cardamom,10610,846,0,3,2091,167,197
2015,Vegetables,Cauliflower,1029,8,43,1193,1586,57,1541
2015,Vegetables,Chilli,4183,16,27,2690,7173,73,1715
2015,Spices,Garlic,1263,0,4,37,899,96,712
2015,Spices,Ginger,3674,2040,0,2,7434,138,2023
2015,Legumes and Pulses,Kidney bean,1357,9,0,2,847,101,624
2015,Legumes and Pulses,Lentil,353,118,101,2648,82,3,232
2015,Cereals,Maize,56805,0,12,10977,83714,88,1474
2015,Fruits and Nuts,Mandarin,828753,17820,0,94,38919,184,47
2015,Legumes and Pulses,Mungbean,921,0,0,0,466,100,506
2015,Cereals,Mustard,2422,6,81,1251,925,20,382
2015,Vegetables,Potato,12008,19908,17,6010,49359,139,4111
2015,Cereals,Rice,49325,6,54,60643,80261,46,1627
2015,Legumes and Pulses,Soya bean,527,5,43,161,220,58,417
2015,Plantation,Tapioca,293,0,0,0,437,100,1491
2015,Vegetables,Tomato,441,0,80,2539,627,20,1422
2015,Cereals,Wheat,4845,4890,106,18444,3730,21,770
2016,Fruits and Nuts,Apple,196708,3790,4,123,6587,226,33
2016,Plantation,Areca nut,726075,7751,11,219,9467,489,13
2016,Vegetables,Beans,3385,20,7,336,4409,93,1303
2016,Cereals,Buckwheat,6897,6,8,310,3705,92,537
2016,Vegetables,Bulb Onion,442,0,89,3502,414,11,937
2016,Vegetables,Cabbage,2738,1545,21,1382,6685,103,2442
2016,Spices,Cardamom,11086,1289,0,2,2736,189,247
2016,Vegetables,Cauliflower,1512,24,27,751,2082,74,1377
2016,Vegetables,Chilli,5538,17,19,2253,9907,82,1789
2016,Spices,Garlic,1409,0,3,37,1176,97,835
2016,Spices,Ginger,4773,3038,0,4,10871,139,2278
2016,Legumes and Pulses,Kidney bean,1565,13,0,0,994,101,635
2016,Legumes and Pulses,Lentil,362,82,99,2103,97,5,267
2016,Cereals,Maize,56609,0,22,23303,82035,78,1449
2016,Fruits and Nuts,Mandarin,882807,15546,0,101,42003,158,48
2016,Legumes and Pulses,Mungbean,952,0,1,3,482,99,506
2016,Cereals,Mustard,2395,1,75,890,887,25,370
2016,Vegetables,Potato,14638,24443,14,5469,58820,148,4018
2016,Cereals,Rice,53055,5,54,64368,85090,46,1604
2016,Legumes and Pulses,Soya bean,544,2,83,1268,254,17,467
2016,Plantation,Tapioca,278,0,0,0,415,100,1493
2016,Vegetables,Tomato,347,0,86,2832,455,14,1311
2016,Cereals,Wheat,3717,1495,93,12694,2521,18,678
2017,Fruits and Nuts,Apple,258215,2659,3,186,8039,144,31
2017,Plantation,Areca nut,895579,5792,1,28,9342,261,10
2017,Vegetables,Beans,3739,15,0,1,5273,100,1410
2017,Cereals,Buckwheat,5817,0,3,124,3480,97,598
2017,Vegetables,Bulb Onion,594,0,89,3776,489,11,823
2017,Vegetables,Cabbage,3551,2096,16,1663,10562,104,2974
2017,Spices,Cardamom,13880,2031,0,1,2245,1046,162
2017,Vegetables,Cauliflower,1604,82,0,0,3575,102,2229
2017,Vegetables,Chilli,7571,18,6,910,13606,94,1797
2017,Spices,Garlic,1441,0,8,61,708,92,491
2017,Spices,Ginger,3809,3947,0,1,7859,201,2063
2017,Legumes and Pulses,Kidney bean,2236,6,0,0,932,101,417
2017,Legumes and Pulses,Lentil,457,95,100,2141,97,5,211
2017,Cereals,Maize,66042,0,25,31251,94052,75,1424
2017,Fruits and Nuts,Mandarin,864608,16141,1,87,28017,234,32
2017,Legumes and Pulses,Mungbean,922,0,0,1,298,100,323
2017,Cereals,Mustard,2697,2,71,776,969,29,359
2017,Vegetables,Potato,12824,24045,14,5282,57223,149,4462
2017,Cereals,Rice,51368,6,53,62445,86385,47,1682
2017,Legumes and Pulses,Soya bean,867,41,91,1667,204,11,235
2017,Plantation,Tapioca,320,0,0,0,306,100,956
2017,Vegetables,Tomato,320,0,89,2978,383,11,1197
2017,Cereals,Wheat,5259,567,78,11610,3833,26,729
2018,Fruits and Nuts,Apple,208124,1293,3,74,3684,149,18
2018,Plantation,Areca nut,1218752,6556,4,206,11681,219,10
2018,Vegetables,Beans,3423,17,0,1,2274,101,664
2018,Cereals,Buckwheat,4647,4,6,119,1991,95,428
2018,Vegetables,Bulb Onion,394,0,92,3588,305,8,774
2018,Vegetables,Cabbage,1792,1247,32,1329,4036,98,2252
2018,Spices,Cardamom,21395,1698,0,0,1542,-991,72
2018,Vegetables,Cauliflower,1001,9,0,0,1191,101,1190
2018,Vegetables,Chilli,4031,21,5,401,7133,95,1770
2018,Spices,Garlic,874,0,8,49,550,92,629
2018,Spices,Ginger,2156,3369,0,1,4260,477,1976
2018,Legumes and Pulses,Kidney bean,1913,6,0,0,799,101,418
2018,Legumes and Pulses,Lentil,617,112,99,2117,138,6,224
2018,Cereals,Maize,36836,0,32,25909,55259,68,1500
2018,Fruits and Nuts,Mandarin,869140,11087,1,86,26527,171,31
2018,Legumes and Pulses,Mungbean,1115,0,0,0,381,100,342
2018,Cereals,Mustard,1103,1,90,740,244,10,221
2018,Vegetables,Potato,11131,24983,20,4698,44278,185,3978
2018,Cereals,Rice,37268,10,59,60335,63890,41,1714
2018,Legumes and Pulses,Soya bean,377,7,95,1926,107,5,284
2018,Plantation,Tapioca,389,0,0,0,448,100,1152
2018,Vegetables,Tomato,329,2,91,2637,261,9,793
2018,Cereals,Wheat,2819,954,96,10975,1445,12,513
2019,Fruits and Nuts,Apple,197196,2922,11,166,4321,276,22
2019,Plantation,Areca nut,1510628,5192,2,189,16107,145,11
2019,Vegetables,Beans,2058,40,0,0,2923,101,1420
2019,Cereals,Buckwheat,5116,21,5,121,2350,96,459
2019,Vegetables,Bulb Onion,141,0,96,3354,155,4,1099
2019,Vegetables,Cabbage,1737,2608,28,1368,6069,126,3494
2019,Spices,Cardamom,15615,2451,0,0,1413,-136,90
2019,Vegetables,Cauliflower,851,8,0,0,1446,101,1699
2019,Vegetables,Chilli,3524,11,3,258,7673,97,2177
2019,Spices,Garlic,770,0,6,48,761,94,988
2019,Spices,Ginger,2386,2318,0,3,6209,159,2602
2019,Legumes and Pulses,Kidney bean,1590,4,1,10,666,99,419
2019,Legumes and Pulses,Lentil,297,134,104,2141,55,3,185
2019,Cereals,Maize,32485,0,28,17743,46235,72,1423
2019,Fruits and Nuts,Mandarin,960851,15111,1,112,27529,220,29
2019,Legumes and Pulses,Mungbean,1307,0,0,0,464,100,355
2019,Cereals,Mustard,1664,1,84,701,394,16,237
2019,Vegetables,Potato,10342,26076,22,4910,43560,195,4212
2019,Cereals,Rice,30314,27,65,61106,49948,35,1648
2019,Legumes and Pulses,Soya bean,621,9,23,47,171,82,275
2019,Plantation,Tapioca,329,0,0,0,484,100,1471
2019,Vegetables,Tomato,148,6,92,2591,233,8,1574
2019,Cereals,Wheat,2481,1688,103,12608,1319,11,532
